name,small mol,pocket,energy,constant
af-6578-heme,153,1,-5.26,239.53
af-6578-heme,154,3,-4.63,239.53
af-6578-heme,155,0,-3.66,4.49
af-6578-heme,156,4,-4.67,217.87
af-6578-heme,157,1,-4.29,715.04
af-6578-heme,158,2,-4.67,379.15
af-6578-heme,159,13,-3.55,379.15
af-6578-heme,160,0,-3.55,379.15
af-6578-heme,161,0,-3.55,379.15
af-6578-heme,162,0,-3.55,379.15
af-6578-heme,163,0,-6.51,730.98
af-6578-heme,164,4,-5.92,619.86
af-6578-heme,165,4,-4.19,12.61
af-6578-heme,166,2,-6.09,34.31
af-6578-heme,167,3,-6.73,11.73
af-6578-heme,168,12,-6.01,39.39
af-6578-heme,169,0,-6.2,28.42
af-6578-heme,170,1,-6.34,23.58
af-6578-heme,171,4,-5.37,117.86
af-6578-heme,172,0,-6.1,33.53
af-6578-heme,173,10,-6.42,530.78
af-6578-heme,174,0,-8.4,35.9
af-6578-heme,175,17,-5.89,48.24
af-6578-heme,176,25,-5.78,58.45
af-6578-heme,177,6,-9.61,58.45
af-6578-heme,178,9,-3.39,58.45
af-6578-heme,179,7,-3.99,58.45
af-6578-heme,180,13,-8.03,58.45
af-6578-heme,181,11,-7.45,10.3
af-6578-heme,182,8,-7.18,925.32
af-6578-heme,183,5,-9.27,160.03
af-6578-heme,184,7,-8.98,485.58
af-6578-heme,185,0,-8.98,485.58
af-6578-heme,186,0,-8.98,485.58
af-6578-heme,187,5,-7.97,1.44
af-6578-heme,188,2,-7.01,7.26
af-6578-heme,189,4,-6.97,7.8
af-6578-heme,190,2,-6.6,16.39
af-6578-heme,191,4,-6.64,44.64
af-6578-heme,192,1,-6.43,1.38
af-6578-heme,193,6,-5.8,499.76
af-6578-heme,194,5,-5.79,56.69
af-6578-heme,195,1,-6.21,28.14
af-6578-heme,196,0,-6.21,28.14
af-6578-heme,197,15,0.39,28.14
af-6578-heme,198,5,-0.17,28.14
af-6578-heme,199,6,-2.15,28.14
af-6578-heme,200,5,-7.71,2.24
af-6578-heme,201,4,-5.81,2.24
af-6578-heme,202,3,-2.89,2.24
af-6578-heme,203,9,-3.91,2.24
af-6578-heme,204,2,-7.15,5.77
af-6578-heme,205,2,-8.89,1.61
af-6578-heme,206,0,-10.92,9.87
af-6578-heme,207,2,-6.57,21.16
af-6578-heme,208,8,-5.19,21.16
af-6578-heme,209,1,-1.1,155.82
af-6578-heme,210,0,-2.82,65.63
af-6578-heme,211,0,-1.11,268.99
af-6578-heme,212,0,-1.15,268.99
af-6578-heme,213,3,-1.26,268.99
af-6578-heme,214,1,-4.49,268.99
af-6578-heme,215,5,-1.87,268.99
af-6578-heme,216,4,-1.54,268.99
af-6578-heme,217,6,6.39,268.99
af-6578-heme,218,4,-3.05,268.99
af-6578-heme,219,8,-0.67,268.99
af-6578-heme,220,4,-2.48,268.99
af-6578-heme,221,7,4.3,268.99
af-6578-heme,222,6,4.83,268.99
af-6578-heme,223,3,-1.28,268.99
af-6578-heme,224,3,1.12,268.99
af-6578-heme,225,8,-4.14,268.99
af-6578-heme,226,3,-1.29,268.99
af-6578-heme,227,10,-1.39,268.99
af-6578-heme,228,9,2.41,268.99
af-6578-heme,229,3,-0.69,268.99
af-6578-heme,230,8,-4.31,268.99
af-6578-heme,231,9,-2.47,20.24
af-6578-heme,232,8,-3.67,20.24
af-6578-heme,233,10,-3.13,20.24
af-6578-heme,234,6,-1.81,136.34
af-6578-heme,235,6,-5.86,136.34
af-6578-heme,236,8,-0.77,136.34
af-6578-heme,237,0,-7.84,1.78
af-6578-heme,238,0,-7.52,3.08
af-6578-heme,239,8,-7.19,90.84
af-6578-heme,240,13,-7.12,90.84
af-6578-heme,241,0,-6.79,10.59
af-6578-heme,242,10,72.08,10.59
af-6578-heme,243,9,67.87,10.59
af-6578-heme,244,9,55.42,10.59
af-6578-heme,245,10,37.5,10.59
af-6578-heme,246,2,-2.41,10.59
af-6578-heme,247,0,4.83,10.59
af-6578-heme,248,2,-2.42,19.76
af-6578-heme,249,4,-3.89,184.62
af-6578-heme,250,11,-3.83,25.96
af-6578-heme,251,3,-8.95,276.43
af-6578-heme,252,0,-6.9,8.74
af-6578-heme,253,6,-1.79,8.74
af-6578-heme,254,4,-1.37,8.74
af-6578-heme,255,4,-0.07,8.74
af-6578-heme,256,5,-0.64,339.16
af-6578-heme,257,6,-5.44,103.56
af-6578-heme,258,3,-8.72,182.69
af-6578-heme,259,2,-6.77,10.84
af-6578-heme,260,9,-5.45,100.86
af-6578-heme,261,9,-6.82,100.86
af-6578-heme,262,7,-4.38,100.86
af-6578-heme,263,11,-1.52,100.86
af-6578-heme,264,13,-4.95,100.86
af-6578-heme,265,4,-5.96,100.86
af-6578-heme,266,4,-5.71,100.86
af-6578-heme,267,3,-5.56,394.93
af-6578-heme,268,6,-6.4,394.93
af-6578-heme,269,5,-5.9,16.46
af-6578-heme,270,9,-5.83,349.81
af-6578-heme,271,3,-6.09,349.81
af-6578-heme,272,5,-6.65,29.15
af-6578-heme,273,0,-7.39,4.15
af-6578-heme,274,0,-7.02,7.17
af-6578-heme,275,5,-7.36,4.25
af-6578-heme,276,0,-6.83,9.78
af-6578-heme,277,11,-4.88,186.4
af-6578-heme,278,6,-4.36,42.54
af-6578-heme,279,1,-5.12,47.3
af-6578-heme,280,6,-6.3,228.74
af-6578-heme,281,13,15.05,228.74
af-6578-heme,282,8,28.83,228.74
af-6578-heme,283,11,73.53,228.74
af-6578-heme,284,15,27.03,228.74
af-6578-heme,285,4,-5.08,4.56
af-6578-heme,286,3,-3.37,4.56
af-6578-heme,287,4,-4.84,2.16
af-6578-heme,288,5,-5.8,1.85
af-6578-heme,289,11,4.29,1.85
af-6578-heme,290,18,8,1.85
af-6578-heme,291,16,16.95,1.85
af-6578-heme,292,17,18.36,1.85
af-6578-heme,293,4,-6.68,1.01
af-6578-heme,294,0,-6.68,1.01
af-6578-heme,295,5,-6.84,1.01
af-6578-heme,296,3,-4.08,1.01
af-6578-heme,297,7,-4.74,4.69
af-6578-heme,298,4,-4.75,182.67
af-6578-heme,299,8,-5.01,15.01
af-6578-heme,300,9,-2.32,15.01
af-6578-heme,301,8,-3.28,15.01
af-6578-heme,302,10,-2.84,15.01
af-6578-heme,303,7,-2.67,15.01
af-6578-heme,304,7,-4.68,15.01
af-6578-heme,305,11,-4.68,15.01
af-6578-heme,306,11,-3.61,15.01
af-6578-heme,307,8,-6.42,15.01
af-6578-heme,308,14,-5.43,15.01
af-6578-heme,309,13,-6.26,2.68
af-6578-heme,310,8,-6.15,1.8
af-6578-heme,311,13,-4.65,6.19
af-6578-heme,312,3,-6.83,10.79
af-6578-heme,313,15,-0.64,10.79
af-6578-heme,314,7,-5.46,10.79
af-6578-heme,315,5,-4.64,10.79
af-6578-heme,316,9,-3.69,10.79
af-6578-heme,317,4,-3.83,63.3
af-6578-heme,318,16,65.3,63.3
af-6578-heme,319,19,56.13,63.3
af-6578-heme,320,14,12.94,63.3
af-6578-heme,321,16,14.55,63.3
af-6578-heme,322,13,0.43,63.3
af-6578-heme,323,12,-2.32,63.3
af-6578-heme,324,6,-0.91,63.3
af-6578-heme,325,10,-0.82,63.3
af-6578-heme,326,14,-3.23,63.3
af-6578-heme,327,8,-0.99,63.3
af-6578-heme,328,11,-1.12,63.3
af-6578-heme,329,7,0.64,63.3
af-6578-heme,330,10,6.29,63.3
af-6578-heme,331,16,-0.29,63.3
af-6578-heme,332,16,-3.15,63.3
af-6578-heme,333,13,-2.71,63.3
af-6578-heme,334,15,-4.55,63.3
af-6578-heme,335,16,-4.94,63.3
af-6578-heme,336,3,-5.6,5.99
af-6578-heme,337,4,-7.39,5.99
af-6578-heme,338,10,-5.19,5.99
af-6578-heme,339,4,-6.76,11
af-6578-heme,340,13,-3.03,11
af-6578-heme,341,12,-1.71,11
af-6578-heme,342,3,-3.61,92.17
af-6578-heme,343,18,-3,92.17
af-6578-heme,344,11,2.17,92.17
af-6578-heme,345,13,-1.61,92.17
af-6578-heme,346,15,-0.03,92.17
af-6578-heme,347,10,-3.67,92.17
af-6578-heme,348,1,-5.94,44.47
af-6578-heme,349,6,-4.37,2.73
af-6578-heme,350,7,-4.7,8.4
af-6578-heme,351,1,-7.22,5.1
af-6578-heme,352,5,4.46,5.1
af-6578-heme,353,10,13.88,5.1
af-6578-heme,354,5,17.51,5.1
af-6578-heme,355,12,-4.63,546.09
af-6578-heme,356,10,-6.36,944.78
af-6578-heme,357,6,-6.79,944.78
af-6578-heme,358,12,-5.7,142.38
af-6578-heme,359,5,-4.82,1.87
af-6578-heme,360,2,-3.71,74.3
af-6578-heme,361,10,-3.75,74.3
af-6578-heme,362,12,-2.96,103.48
af-6578-heme,363,8,-3.28,103.48
af-6578-heme,364,7,-3.77,103.48
af-6578-heme,365,14,-4.95,103.48
af-6578-heme,366,9,-4.25,103.48
af-6578-heme,367,14,-1.58,103.48
af-6578-heme,368,12,-4.96,103.48
af-6578-heme,369,10,-4.04,103.48
af-6578-heme,370,11,7.85,103.48
af-6578-heme,371,14,2.63,103.48
af-6578-heme,372,12,8.59,103.48
af-6578-heme,373,21,-2.77,103.48
af-6578-heme,374,4,-4.46,7.3
af-6578-heme,375,2,-4.71,8.64
af-6578-heme,376,2,-5.85,51.19
af-6578-heme,377,2,-5.49,94.82
af-6578-heme,378,1,-6.13,45.29
af-6578-heme,379,6,-3.91,45.29
af-6578-heme,380,7,-4.58,2.78
af-6578-heme,381,2,-5,161.56
af-6578-heme,382,13,-5.12,21.74
af-6578-heme,383,12,-4.31,9.9
af-6578-heme,384,1,-6.88,154.7
af-6578-heme,385,5,-5.62,22.28
af-6578-heme,386,6,-4.94,89.96
af-6578-heme,387,6,-5.89,2.28
af-6578-heme,388,2,-4.73,8.42
af-6578-heme,389,7,-4.66,8.42
af-6578-heme,390,10,-4.88,8.42
af-6578-heme,391,8,-5.44,103.4
af-6578-heme,392,5,-5.27,3.71
af-6578-heme,393,5,-6.25,5.76
af-6578-heme,394,9,-3.97,5.76
af-6578-heme,395,12,-4.39,1.09
af-6578-heme,396,3,-0.88,1.09
af-6578-heme,397,9,-3.77,1.09
af-6578-heme,398,0,-3.77,1.09
af-6578-heme,399,0,-3.77,1.09
af-6578-heme,400,0,-3.77,1.09
af-6578-heme,401,0,-3.77,1.09
af-6578-heme,402,0,-3.77,1.09
af-6578-heme,403,0,-3.77,1.09
af-6578-heme,404,0,-3.77,1.09
